nhood,day_of_week,hour_bucket,avg_pickups,max_pickups,min_pickups,nhood_id,hour_bucket_id
Inner Richmond,3,16-19,7.05,19.0,1.25,7,2
Inner Richmond,3,19-0,7.01,28.25,0.0,7,3
Inner Richmond,3,7-10,3.88,10.0,0.25,7,4
Inner Richmond,4,0-7,1.28,6.75,0.0,7,0
Inner Richmond,4,10-16,3.95,10.75,0.0,7,1
Inner Richmond,4,16-19,8.6,27.5,0.5,7,2
Inner Richmond,4,19-0,9.73,32.25,0.5,7,3
Inner Richmond,4,7-10,4.09,11.0,0.25,7,4
Inner Richmond,5,0-7,1.4,5.75,0.0,7,0
Inner Richmond,5,10-16,6.1,16.0,0.25,7,1
Inner Richmond,5,16-19,9.87,24.25,1.25,7,2
Inner Richmond,5,19-0,9.94,32.25,0.0,7,3
Inner Richmond,5,7-10,3.3,10.5,0.0,7,4
Inner Richmond,6,0-7,1.5,5.75,0.0,7,0
Inner Richmond,6,10-16,5.4,14.25,0.25,7,1
Inner Richmond,6,16-19,7.04,18.0,0.75,7,2
Inner Richmond,6,19-0,3.71,19.25,0.0,7,3
Inner Richmond,6,7-10,2.88,10.0,0.0,7,4
Marina/Cow Hollow,0,0-7,3.2,17.8,0.0,8,0
Marina/Cow Hollow,0,10-16,9.17,23.6,0.4,8,1
Marina/Cow Hollow,0,16-19,16.92,53.2,0.8,8,2
Marina/Cow Hollow,0,19-0,9.22,52.4,0.0,8,3
Marina/Cow Hollow,0,7-10,11.8,25.8,0.0,8,4
Marina/Cow Hollow,1,0-7,3.67,16.4,0.0,8,0
Marina/Cow Hollow,1,10-16,10.18,26.4,0.8,8,1
Marina/Cow Hollow,1,16-19,19.52,74.6,1.6,8,2
Marina/Cow Hollow,1,19-0,12.82,75.8,0.0,8,3
Marina/Cow Hollow,1,7-10,13.23,29.8,0.4,8,4
Marina/Cow Hollow,2,0-7,3.64,17.6,0.0,8,0
Marina/Cow Hollow,2,10-16,11.38,27.8,1.2,8,1
Marina/Cow Hollow,2,16-19,22.4,79.6,1.8,8,2
Marina/Cow Hollow,2,19-0,15.33,84.6,0.0,8,3
Marina/Cow Hollow,2,7-10,13.65,35.6,1.4,8,4
Marina/Cow Hollow,3,0-7,3.83,15.5,0.0,8,0
Marina/Cow Hollow,3,10-16,11.42,31.0,1.25,8,1
Marina/Cow Hollow,3,16-19,21.19,85.0,2.0,8,2
Marina/Cow Hollow,3,19-0,18.94,95.0,0.0,8,3
Marina/Cow Hollow,3,7-10,13.55,29.75,0.5,8,4
Marina/Cow Hollow,4,0-7,3.51,15.5,0.0,8,0
Marina/Cow Hollow,4,10-16,13.11,36.75,1.0,8,1
Marina/Cow Hollow,4,16-19,27.57,108.5,2.5,8,2
Marina/Cow Hollow,4,19-0,29.93,125.75,0.0,8,3
Marina/Cow Hollow,4,7-10,13.65,31.0,0.25,8,4
Marina/Cow Hollow,5,0-7,2.81,12.25,0.0,8,0
Marina/Cow Hollow,5,10-16,24.43,88.25,3.0,8,1
Marina/Cow Hollow,5,16-19,30.64,112.0,4.25,8,2
Marina/Cow Hollow,5,19-0,33.29,158.0,0.5,8,3
Marina/Cow Hollow,5,7-10,12.02,44.5,0.25,8,4
Marina/Cow Hollow,6,0-7,3.3,16.25,0.0,8,0
