nhood,day_of_week,hour_bucket,total_travel_time,avg_travel_time,min_travel_time,max_travel_time
Inner Richmond,2,10-16,54802.11,805.9133823529412,338.71,1572.3
Inner Richmond,2,16-19,27572.81,787.7945714285714,314.3,1545.67
Inner Richmond,2,19-0,40295.7,732.6490909090909,261.83,1285.17
Inner Richmond,2,7-10,39401.08,985.027,391.0,1766.29
Inner Richmond,3,0-7,26671.829999999998,784.465588235294,368.62,1507.43
Inner Richmond,3,10-16,56161.090000000004,825.8983823529412,287.0,1535.33
Inner Richmond,3,16-19,32583.6,880.6378378378378,319.67,2200.0
Inner Richmond,3,19-0,40834.16,742.4392727272727,264.31,1547.17
Inner Richmond,3,7-10,32103.079999999998,944.2082352941176,382.33,1922.3
Inner Richmond,4,0-7,29383.75,773.2565789473684,374.79,1337.79
Inner Richmond,4,10-16,66776.48,878.6378947368421,363.0,1766.38
Inner Richmond,4,16-19,38878.8,809.975,357.18,1759.22
Inner Richmond,4,19-0,49763.72,710.9102857142857,74.67,1327.63
Inner Richmond,4,7-10,27292.32,852.885,477.58,1548.14
Inner Richmond,5,0-7,32630.12,652.6024,320.29,1340.8
Inner Richmond,5,10-16,41630.89,770.9424074074074,351.56,1863.67
Inner Richmond,5,16-19,32166.56,731.0581818181819,319.36,1509.67
Inner Richmond,5,19-0,49698.58,680.8024657534247,259.83,1244.0
Inner Richmond,5,7-10,13139.42,597.2463636363636,376.95,1308.17
Inner Richmond,6,0-7,43940.409999999996,708.7162903225806,363.93,1373.0
Inner Richmond,6,10-16,39666.08,721.2014545454546,320.83,1388.64
Inner Richmond,6,16-19,16513.19,688.0495833333333,312.29,1343.0
Inner Richmond,6,19-0,38822.82,746.5926923076923,262.5,1971.33
Inner Richmond,6,7-10,13884.88,631.1309090909091,337.57,1104.71
Marina/Cow Hollow,0,0-7,13340.21,317.6240476190476,94.0,665.63
Marina/Cow Hollow,0,10-16,24368.05,427.509649122807,138.69,2047.5
Marina/Cow Hollow,0,16-19,14239.82,355.9955,147.32,1427.0
Marina/Cow Hollow,0,19-0,9888.62,253.554358974359,108.67,478.5
Marina/Cow Hollow,0,7-10,21000.28,456.5278260869565,117.57,1467.38
Marina/Cow Hollow,1,0-7,10852.220000000001,293.3032432432433,125.86,597.17
Marina/Cow Hollow,1,10-16,20924.77,387.49574074074076,138.65,2088.17
Marina/Cow Hollow,1,16-19,10772.2,299.2277777777778,113.07,1100.71
Marina/Cow Hollow,1,19-0,10777.25,276.3397435897436,81.75,725.17
Marina/Cow Hollow,1,7-10,13818.99,373.48621621621623,109.57,1212.43
Marina/Cow Hollow,2,0-7,19103.94,406.46680851063826,118.0,1252.67
Marina/Cow Hollow,2,10-16,17553.57,337.56865384615384,132.45,2473.33
Marina/Cow Hollow,2,16-19,17986.21,382.6853191489362,120.33,1573.5
Marina/Cow Hollow,2,19-0,14170.42,322.055,118.95,1754.0
Marina/Cow Hollow,2,7-10,14109.31,361.77717948717947,124.56,1467.5
Marina/Cow Hollow,3,0-7,11253.69,296.14973684210526,101.23,784.82
Marina/Cow Hollow,3,10-16,30224.04,479.74666666666667,123.64,2946.43
Marina/Cow Hollow,3,16-19,14261.1,331.653488372093,120.18,1345.5
Marina/Cow Hollow,3,19-0,19514.03,390.2806,129.46,2378.0
Marina/Cow Hollow,3,7-10,13020.91,351.91648648648646,138.91,1166.12
Marina/Cow Hollow,4,0-7,12486.33,337.46837837837836,183.74,648.5
Marina/Cow Hollow,4,10-16,29352.65,444.7371212121212,126.92,2529.33
Marina/Cow Hollow,4,16-19,24258.82,433.1932142857143,152.88,3050.0
Marina/Cow Hollow,4,19-0,27395.24,346.77518987341773,161.42,1246.0
Marina/Cow Hollow,4,7-10,14189.05,373.3960526315789,130.87,1184.17
Marina/Cow Hollow,5,0-7,20720.61,370.0108928571429,150.03,1000.5
Marina/Cow Hollow,5,10-16,20462.66,352.8044827586207,127.29,1312.83
Marina/Cow Hollow,5,16-19,15548.34,317.3130612244898,149.33,2013.75
Marina/Cow Hollow,5,19-0,37599.62,408.69152173913045,107.17,1804.82
Marina/Cow Hollow,5,7-10,9705.27,269.59083333333336,86.4,568.5
Marina/Cow Hollow,6,0-7,25857.93,391.7868181818182,145.0,1658.29
Marina/Cow Hollow,6,10-16,20140.53,366.1914545454545,105.67,1632.0
Marina/Cow Hollow,6,16-19,9249.63,256.93416666666667,140.05,492.25
Marina/Cow Hollow,6,19-0,18523.9,330.7839285714286,123.45,789.17
Marina/Cow Hollow,6,7-10,8164.81,255.1503125,120.88,462.06
Mission,0,0-7,105515.7,676.3826923076923,80.0,3110.4
Mission,0,10-16,181154.44,777.4868669527897,132.17,2372.29
Mission,0,16-19,104124.47,743.7462142857142,171.83,2416.0
